,crime,number,date,location,beat,neighborhood,npu,lat,long
0,LARCENY-NON VEHICLE,103040029,10/31/2010,610 SPRING ST NW,509,Downtown,M,33.77101,-84.38895
1,AUTO THEFT,103040061,10/31/2010,850 OAK ST SW,401,West End,T,33.74057,-84.4168
2,LARCENY-FROM VEHICLE,103040169,10/31/2010,1344 METROPOLITAN PKWY SW,301,Capitol View Manor,X,33.71803,-84.40774
3,AUTO THEFT,103040174,10/31/2010,1752 PRYOR RD SW,307,Betmar LaVilla,Y,33.70731,-84.39674
4,LARCENY-NON VEHICLE,103040301,10/31/2010,JOHN WESLEY DOBBS AVE NE / CORLEY ST NE,604,Old Fourth Ward,M,33.75947,-84.36626
5,BURGLARY-RESIDENCE,103040333,10/31/2010,430 W WESLEY RD NW,205,Peachtree Battle Alliance,C,33.82838,-84.40133
6,ROBBERY-PEDESTRIAN,103040345,10/31/2010,MYRTLE DR @ PLAZA LN,410,Campbellton Road,R,33.70537,-84.45498
7,LARCENY-NON VEHICLE,103040385,10/31/2010,1980 DELOWE DR SW,410,Campbellton Road,R,33.70121,-84.45724
8,LARCENY-FROM VEHICLE,103040387,10/31/2010,506 MORELAND AVE SE,201,Brandon,C,33.83193,-84.42627
9,LARCENY-FROM VEHICLE,103040412,10/31/2010,229 PEACHTREE ST NE,509,Downtown,M,33.7604,-84.38746
10,AGG ASSAULT,103040443,10/31/2010,1083 EUCLID AVE NE,602,Inman Park,N,33.76309,-84.3516
11,AGG ASSAULT,103040472,10/31/2010,2315 DONALD LEE HOLLOWELL BLVD NW ,109,Center Hill,J,33.77725,-84.46072
12,LARCENY-FROM VEHICLE,103040475,10/31/2010,3475 LENOX RD NE,210,Lenox,B,33.84922,-84.36056
13,LARCENY-FROM VEHICLE,103040504,10/31/2010,800 SIDNEY MARCUS BLVD NE,211,Lindbergh/Morosgo,B,33.82674,-84.36131
14,RAPE,103040611,10/31/2010,210 PEACHTREE ST,508,Downtown,M,33.75946,-84.38769
15,LARCENY-NON VEHICLE,103040646,10/31/2010,610 SPRING ST NW,509,Downtown,M,33.77101,-84.38895
16,AUTO THEFT,103040890,10/31/2010,202 RICHARDSON ST SW ,303,Mechanicsville,V,33.74075,-84.39454
17,AGG ASSAULT,103040893,10/31/2010,450 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70604,-84.35916
18,LARCENY-FROM VEHICLE,103040928,10/31/2010,2591 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82543,-84.36706
19,LARCENY-NON VEHICLE,103040964,10/31/2010,678 HILL ST SE,605,Grant Park,W,33.73611,-84.37812
20,AUTO THEFT,103040966,10/31/2010,165 MARION PL NE,609,Edgewood,O,33.75795,-84.34501
21,LARCENY-FROM VEHICLE,103040970,10/31/2010,1116 LINDRIDGE DR NE,212,Lindridge/Martin Manor,F,33.8199,-84.35326
22,BURGLARY-RESIDENCE,103040973,10/31/2010,149 26TH ST NW,207,Brookwood,E,33.80253,-84.39776
23,AUTO THEFT,103040981,10/31/2010,901 BOLTON RD NW,114,Bankhead/Bolton,H,33.77948,-84.49901
24,LARCENY-NON VEHICLE,103041004,10/31/2010,36 HARRIS ST NW,508,Downtown,M,33.76089,-84.38855
25,AGG ASSAULT,103041014,10/31/2010,2019 REYNOLDS DR SW,307,Lakewood Heights,Y,33.69935,-84.40073
26,LARCENY-FROM VEHICLE,103041024,10/31/2010,TRENHOLM ST SW / PETERS ST SW,507,Castleberry Hill,M,33.7456,-84.40378
27,LARCENY-FROM VEHICLE,103041119,10/31/2010,3RD ST NE / PEACHTREE ST NE,505,Midtown,E,33.77368,-84.38477
28,BURGLARY-RESIDENCE,103041130,10/31/2010,600 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74662,-84.40755
29,AUTO THEFT,103041136,10/31/2010,1306 HILL ST SE,305,Chosewood Park,Y,33.71875,-84.37852
30,ROBBERY-PEDESTRIAN,103041159,10/31/2010,1168 BENTEEN AVE SE,607,Boulevard Heights,W,33.72273,-84.36697
31,BURGLARY-NONRES,103041162,10/31/2010,640 NORTH AVE NE,603,Old Fourth Ward,M,33.77121,-84.36562
32,LARCENY-FROM VEHICLE,103041181,10/31/2010,2011 VENETIAN DR SW,409,Adams Park,R,33.71509,-84.4543
33,AGG ASSAULT,103041184,10/31/2010,3200 STONE RD SW,411,Greenbriar,R,33.6697,-84.49403
34,BURGLARY-RESIDENCE,103041224,10/31/2010,292 MORGAN PLACE S.E.,611,East Lake,O,33.74446,-84.29171
35,LARCENY-FROM VEHICLE,103041231,10/31/2010,701 KENNOLIA DR SW,404,Westwood Terrace,I,33.73611,-84.44924
36,BURGLARY-NONRES,103041236,10/31/2010,2777 BURTON RD NW,111,Westhaven,I,33.75615,-84.47873
37,AUTO THEFT,103041244,10/31/2010,3909 CAMPBELLTON RD SW,412,Kings Forest,P,33.6924,-84.51637
38,AUTO THEFT,103041255,10/31/2010,3334 PEACHTREE RD NE ,208,North Buckhead,B,33.84911,-84.37075
39,LARCENY-NON VEHICLE,103041263,10/31/2010,2700 PINE TREE DR NE,210,Pine Hills,B,33.82606,-84.35908
40,AUTO THEFT,103041268,10/31/2010,372 LEGACY DR SW,104,Harris Chiles,T,33.74385,-84.41909
41,LARCENY-NON VEHICLE,103041286,10/31/2010,302 DEERING RD NW,207,Loring Heights,E,33.79592,-84.399
42,LARCENY-FROM VEHICLE,103041308,10/31/2010,2086 CARVER DR,108,Dixie Hills,J,33.75973,-84.46253
43,LARCENY-FROM VEHICLE,103041311,10/31/2010,659 LARKIN ST SW,101,Atlanta University Center,T,33.74826,-84.40905
44,LARCENY-FROM VEHICLE,103041315,10/31/2010,1011 MONROE DR NE,601,Virginia Highland,F,33.78243,-84.36835
45,BURGLARY-RESIDENCE,103041320,10/31/2010,556 CAIRO ST NW,106,Bankhead,K,33.76982,-84.41967
46,AUTO THEFT,103041333,10/31/2010,564 GRESHAM AVE SE,612,East Atlanta,W,33.73892,-84.34559
47,LARCENY-NON VEHICLE,103041390,10/31/2010,424 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74249,-84.34745
48,AUTO THEFT,103041397,10/31/2010,1128 ATLANTIC DR NW,501,Home Park,E,33.78548,-84.39813
49,LARCENY-FROM VEHICLE,103041424,10/31/2010,COURTLAND ST NE / HARRIS ST NE,509,Downtown,M,33.76094,-84.38418
50,LARCENY-NON VEHICLE,103041455,10/31/2010,FORSYTH ST NW / MARIETTA ST NW,511,Downtown,M,33.75543,-84.39104
51,LARCENY-NON VEHICLE,103041457,10/31/2010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
52,BURGLARY-RESIDENCE,103041472,10/31/2010,2412 WOODWARD WAY NW,205,Peachtree Battle Alliance,C,33.8193,-84.39688
53,LARCENY-NON VEHICLE,103041544,10/31/2010,510 PARKWAY DR NE,603,Old Fourth Ward,M,33.76822,-84.3734
54,LARCENY-FROM VEHICLE,103041546,10/31/2010,7TH ST NE / JUNIPER ST NE,505,Midtown,E,33.77843,-84.38274
55,LARCENY-NON VEHICLE,103041549,10/31/2010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
56,LARCENY-FROM VEHICLE,103041561,10/31/2010,JUNIPER ST NE / 10TH ST NE,503,Midtown,E,33.78175,-84.3825
57,LARCENY-FROM VEHICLE,103041582,10/31/2010,1424 N HIGHLAND AVE NE,213,Morningside/Lenox Park,F,33.79351,-84.35148
58,LARCENY-FROM VEHICLE,103041587,10/31/2010,836 MITCHELL ST SW,101,Atlanta University Center,T,33.75327,-84.41491
59,AUTO THEFT,103041588,10/31/2010,259 RICHARDSON ST SW,303,Mechanicsville,V,33.74083,-84.39654
60,BURGLARY-RESIDENCE,103041599,10/31/2010,3324 LYNFIELD LANE,406,Green Forest Acres,I,33.73257,-84.49651
61,BURGLARY-RESIDENCE,103041607,10/31/2010,941 MORELAND DR SE,607,Custer/McDonough/Guice,W,33.7088,-84.35813
62,AGG ASSAULT,103041647,10/31/2010,1123 JONES AVE,110,Grove Park,J,33.78545,-84.45178
63,LARCENY-FROM VEHICLE,103041669,10/31/2010,15 PEACHTREE ST SE,511,Downtown,M,33.75399,-84.38986
64,AUTO THEFT,103041670,10/31/2010,303 PARKWAY DR NE,604,Old Fourth Ward,M,33.76286,-84.37405
65,AGG ASSAULT,103041672,10/31/2010,240 OAK DR SE ,312,Glenrose Heights,Z,33.6685,-84.38684
66,LARCENY-NON VEHICLE,103041700,10/31/2010,50 ALABAMA ST SW,511,Downtown,M,33.75194,-84.38964
